|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43152||||||||||||This weeks report includes swap numbers 

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|0|1691.087|-|0|378.2605599977493|-|0|23.9566|-||0|2093.304159997749|-|16808|332.6252899925239|1.9789700737299138|0|12.454213231780992||||16754
|  Haddock|0|2956.963|-|0|403.3139200013637|-|0|8.7202|-||0|3368.9971200013642|-|27324|602.7513400122407|2.2059410774858756|0|12.329809398336131||||44464
|  Whiting|0|1460.2579999999998|-|0|97.35050000000003|-|0|13.65|-||0|1571.2585|-|13818|345.0359999938962|2.4970039079019846|0|11.371099290780142||||9473
|  Saithe|0|943.0640000000001|-|0|121.25709999999998|-|0|186.6256|-||0|1250.9467000000002|-|8452|203.64900000000011|2.409477046852817|0|14.800599858021773||||8710
|  Plaice|0|99.883|-|0|20.65096999740601|-|0|803.1913|-||0|923.7252699974059|-|29816|38.768939998674455|0.13002730077365995|0|3.098085826393232||||27552
|  Sole|0|0|-|0|2.0927|-|0|41.2111|-||0|43.3038|-|672|2.9117999999999995|0.4333035714285714|0|6.444017857142857||||783
|  Hake|0|213.74200000000005|-|0|102.523|-|0|14.177|-||0|330.44200000000006|-|658|79.48330000000004|12.079528875379946|0|50.21914893617022||||5317
|  Nephrops|0|648.5479999999999|-|0|275.1996000076294|-|0|3.1997|-||0|926.9473000076292|-|21237|120.78269999999975|0.5687371097612646|0|4.3647751566022945||||10801
|  Norway others|0|90.993|-|0|42.6347|-|0|0.27|-||0|133.89770000000001|-|3750|3.2120000000000175|0.0856533333333338|0|3.5706053333333334||||2934
|  Monkfish|0|1114.743|-|0|54.32580001630783|-|0|3.4273000000000002|-||0|1172.4961000163078|-|13203|243.03780999832134|1.8407771718421673|0|8.880527910446927||||9798
|  Megrim|0|96.049|-|0|6.9524|-|0|1.2464|-||0|104.2478|-|2430|20.1982|0.831201646090535|0|4.290032921810699||||2727
|  Lem Sole & Witches|0|170.42000000000004|-|0|6.249410000753402|-|0|10.0871|-||0|186.75651000075345|-|3904|51.60021999969487|1.3217269467134958|0|4.783722079937332||||3554
|  Skates & Rays|0|52.16300000000001|-|0|30.369600000762937|-|0|6.2167|-||0|88.74930000076296|-|1070|9.323300000000017|0.8713364485981324|0|8.294327102875043||||721
|  Dabs & Flounders|0|2.5370000000000004|-|0|0|-|0|7.568|-||0|10.105|-|0|1.065999999999999|-|0|-||||1558
|  Turbot & Brill|0|3.3930000000000002|-|0|2.0314|-|0|28.9249|-||0|34.3493|-|1097|2.1732000015258777|0.198103919920317|0|3.131203281677301||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0174|-|0|0|-||0|0.0174|-|431|0|0|0|0.004037122969837587||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|0|0|-|0|0|-|0|0|-||0|0|-|45|0|0|0|0||||45
| Cod VIa,Vb (EC)|0|25.624000000000002|-|0|0.0209|-|0|0|-||0|25.644900000000003|-|0|3.291999999999998|-|-|-||||0
| Haddock VIb, XII, XIV  |0|16.12|-|0|0|-|0|0|-||0|16.12|-|4136|0|0|0|0.3897485493230174||||2561
| Haddock VIa,Vb (EC)|0|200.79900000000004|-|0|6.094400061035159|-|0|0|-||0|206.8934000610352|-|3624|36.04800006103517|0.9947019884391604|0|5.708979030381766||||5077
|  Whiting|0|10.114999999999998|-|0|0.0472|-|0|0|-||0|10.162199999999999|-|122|2.4709999999999974|2.0254098360655717|0|8.32967213114754||||122
|  Saithe|0|437.0039999999999|-|0|0.172399998474121|-|0|0.3019|-||0|437.47829999847403|-|3308|92.75209999847408|2.803872430425456|0|13.22485792014734||||2839
|  Plaice|0|2.598|-|0|0.1535|-|0|0|-||0|2.7515|-|388|0.1469999999999998|0.03788659793814428|0|0.7091494845360825||||388
|  Sole|0|0.006|-|0|0|-|0|0|-||0|0.006|-|11|0|0|0|0.05454545454545455||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|0|331.03999999999996|-|0|3.6069|-|0|0|-||0|334.64689999999996|-|2825|68.88049999999993|2.438247787610617|0|11.845907964601768||||2805
|  Nephrops|0|275.298|-|0|13.881|-|0|0|-||0|289.179|-|11842|63.22879999999998|0.5339368349940887|0|2.441977706468502||||17636
|  Megrim|0|70.245|-|0|1.16|-|0|0|-||0|71.405|-|1704|15.541000000000004|0.9120305164319251|0|4.19043427230047||||1772
|  Pollack|0|4.7170000000000005|-|0|0.0877|-|0|0|-||0|4.8047|-|145|0.3260000000000005|0.2248275862068969|0|3.3135862068965523||||145
|Greenland Halibut II,IV,VI|0|0|-|0|0|-|0|0|-||0|0|-|1017|0|0|0|0||||974
|  Spurdog (zero TAC)|-|0|-|-|3.6639999999999997|-|-|0|-||-|3.6639999999999997|-|0|0.025399999999999867|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43152||||||||||||This weeks report includes swap numbers 

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0|0.048|-|0|0|-|0|0|-||0|0.048|-|4|-0.274|-6.8500000000000005|0|1.2||||4
|Monkfish|0|4.667|-|0|0.2818|-|0|0.372|-||0|5.320799999999999|-|305|0.08999999999999897|0.029508196721311136|0|1.7445245901639341||||180
|Ling |0|1.6789999999999998|-|0|0.9082|-|0|0|-||0|2.5871999999999997|-|106|-0.11500000000000021|-0.10849056603773606|0|2.440754716981132||||144
|Nephrops|0|0|-|0|0|-|0|0|-||0|0|-|42|0|0|0|0||||53
