|Whitefish Statistics: total landings (tonnes live weight) in 2017
|43054||||||||||||This weeks report includes swap numbers 1631-1665

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2016|2017||||Quota
||2016|2017|change|2016|2017|change|2016|2017|change||2016|2017|change|2017|Tonnes|%|%|%||||2016
|North sea
|  Cod|13384.69|13222.588|-1.21110014501644|277.5328|1241.57854999771|347.362816214051|439.3804|252.1511|-42.6121192479227||14101.6032|14712.2306499977|4.33019878192082|18390.6|532.384199999995|2.89487129294311|84.1685758624806|79.9986441442786||||16754
|  Haddock|21796.61|19891.418|-8.7407720741895|142.5448|1460.02308000412|924.255588421408|116.9596|147.2986|25.939726196054||22056.1144|21498.7396800041|-2.52707575725974|27899.37|777.287930001075|2.78604115433816|49.6044314501619|77.0581546465176||||44464
|  Whiting|7719.54|6858.211|-11.1577762405532|568.8366|817.785900000763|43.7646417267741|61.5498|87.7724|42.6038752359877||8349.9264|7763.76930000076|-7.01990738504279|10566.7|226.048000000001|2.1392487720859|88.1444779900771|73.4739256343112||||9473
|  Saithe|5401.3|5175.119|-4.18752892822093|0.4497|485.3327|107823.660217923|1722.8107|1207.1442|-29.9316982417163||7124.5604|6867.5959|-3.60674182788873|11031.725|132.3735|1.19993473368852|81.7974787600459|62.2531462667896||||8710
|  Plaice|1793.53|1601.054|-10.7316855586469|231.9568|208.087679997253|-10.2903299246871|14900.2112|11681.1676|-21.6040132370741||16925.698|13490.3092799973|-20.2968806367852|33093.838|122.403599998093|0.369868251600474|61.4318307200929|40.7638101086893||||27552
|  Sole|0.09|0.052|-42.2222222222222|186.3533|158.458999999237|-14.9685033754503|399.1976|232.9381|-41.6484217339984||585.6409|391.449099999237|-33.1588521226511|975.83|5.05500000000001|0.51802055685929|74.7944955300128|40.1144769067601||||783
|  Hake|3204.97|3448.737|7.60590582751165|3.0185|1001.3636|33074.212357131|128.3727|119.6376|-6.80448413097177||3336.3612|4569.7382|36.9677299927837|4829.989|253.9969|5.2587469660904|62.7489411322174|94.6117724077633||||5317
|  Nephrops|5317.72|8074.603|51.8433275915242|2283.7007|2336.9655|2.33238970413244|71.6265|10.5792|-85.2300475382715||7673.0472|10422.1477|35.8280149768921|16483.13|321.029300000002|1.94762341861043|71.0401555411536|63.22917856014||||10801
|  Norway others|1911.03|1773.173|-7.2137538395525|0|331.6982|-|403.7293|200.7403|-50.2784910582413||2314.7593|2305.6115|-0.395194437711091|3101.5|21.4399999999996|0.691278413670792|78.8943183367416|74.3385942285991||||2934
|  Monkfish|7962.94|7957.943|-0.0627532042185576|63.9516|212.756500005722|232.683623249023|106.4715|135.2158|26.9971776484787||8133.3631|8305.91530000572|2.1215356782205|11221.457|265.7028|2.36781016939244|83.0104419269239|74.0181537923794||||9798
|  Megrim|1148.84|1025.189|-10.7631175794715|0.1003|20.2974|20136.6899302094|11.1677|9.1764|-17.8308872910268||1160.108|1054.6628|-9.08925720708764|2743.685|17.0098|0.619961839642672|42.5415474880822|38.4396459506102||||2727
|  Lem Sole & Witches|1085.79|1211.891|11.6137558828135|59.8903|92.8551799972534|55.0421019718609|398.1684|298.4377|-25.0473668930031||1543.8487|1603.18387999725|3.84332868870205|3780|38.9271200004578|1.0298179894301|43.4397495779403|42.4122719575993||||3554
|  Skates & Rays|307.62|293.652|-4.54066705675831|212.5364|245.038500000763|15.2924863697526|60.6339|38.3593|-36.7362152195389||580.7903|577.049800000763|-0.644036238077159|811|21.5265000000002|2.65431565967943|80.553439667129|71.152872996395||||721
|  Dabs & Flounders|4.33|11.704|170.300230946882|22.8483|8.674|-62.0365628952701|328.9621|76.954|-76.6070316306955||356.1404|97.332|-72.6703288927625|4.44089209850063e-16|0.478000000000037|107636031094163000|22.8588189987163|21917217946561300000||||1558
|  Turbot & Brill|38.91|42.167|8.37059881778464|71.3345|55.2617999671936|-22.5314539708085|342.2548|332.4886|-2.85348810301567||452.4993|429.917399967194|-4.9904828654556|607.32|8.86930000991822|1.46039979087108|86.6856896551724|70.7892708896782||||522
|  Spurdog (zero TAC)|0|0.897|-|0|0|-|17.78|0|-100||17.78|0.897|-94.955005624297|0|0|-|-|-||||0
|  Northern prawn|0|0.24|-|0|12.4847|-|0|0|-||0|12.7247|-|514.461|0.334899999999999|0.0650972571293061|0|2.47340420362282||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|35.41|35.129|-0.793561140920661|0|0|-|0|0|-||35.41|35.129|-0.793561140920661|45|0.442999999999998|0.98444444444444|78.6888888888889|78.0644444444444||||45
| Cod VIa,Vb (EC)|156.27|164.702|5.39578933896459|0.9013|1.0902|20.9586153334073|2.5037|0.4006|-83.9996804729001||159.675|166.1928|4.08191639267259|0|3.20299999999997|-|-|-||||0
| Haddock VIb, XII, XIV  |2126.51|3833.89|80.2902408171134|0|0|-|0|0|-||2126.51|3833.89|80.2902408171134|3995.058|29.6309999999999|0.741691359674875|83.0343615775088|95.9658157653781||||2561
| Haddock VIa,Vb (EC)|2435.01|2217.858|-8.91790998804932|20.5524|36.9467|79.7682995659874|5.9508|0.488|-91.7994219264637||2461.5132|2255.2927|-8.37779378960876|3386.692|57.5831400756834|1.70027685055752|48.4836163088438|66.5927902507816||||5077
|  Whiting|119.35|117.347|-1.67825722664431|0.3475|1.0379|198.676258992806|0.65|0.359|-44.7692307692308||120.3475|118.7439|-1.33247470865618|123.795|1.03169999389648|0.83339391243304|98.6454918032787|95.9197867442142||||122
|  Saithe|2425.37|2293.568|-5.43430486894785|0.6509|0.2003|-69.2272238439084|129.7041|17.2372|-86.7103661333759||2555.725|2311.0055|-9.57534554774088|3416.975|62.2966999999999|1.82315352029207|90.0220147939415|67.6330818926097||||2839
|  Plaice|62.72|109.643|74.813456632653|0.1897|0.2609|37.532946758039|0.1712|0.112|-34.5794392523364||63.0809|110.0159|74.4044552312982|388|0.0770999984741252|0.0198711336273519|16.2579639175258|28.3546134020619||||388
|  Sole|2.06|1.574|-23.5922330097087|0.3382|0.1525|-54.9083382613838|0.08|0.141|76.25||2.4782|1.8675|-24.6428859656202|11|0|0|22.5290909090909|16.9772727272727||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|2160.04|2070.19|-4.1596451917557|96.0072|480.673900001526|400.664429336056|149.1406|46.0845|-69.0999633902506||2405.1878|2596.94840000153|7.97279114759878|3029.9|57.3246000015261|1.89196343118671|85.7464456327986|85.7106967227145||||2805
|  Nephrops|12345.43|9780.224|-20.778587704114|1080.6133|1043.7711|-3.40937872965286|4.5504|21.0513|362.62526371308||13430.5937|10845.0464|-19.2511765135148|17714.623|150.022600000002|0.84688564921761|76.1544210705375|61.22087046391||||17636
|  Megrim|713.59|632.797|-11.3220476744349|1.4728|3.8488|161.325366648561|13.9268|75.4643|441.863888330413||728.9896|712.1101|-2.31546513146414|1959.246|5.28199999999993|0.269593506889892|41.1393679458239|36.3461300929031||||1772
|  Pollack|23.8|12.333|-48.1806722689076|1.902|0.9397|-50.5941114616194|0.3458|0.008|-97.6865240023135||26.0478|13.2807|-49.0141201944118|145|0.099150000762938|0.0683793108709917|17.964|9.15910344827586||||145
|Greenland Halibut II,IV,VI|497.97|147.866|-70.3062433479928|0|0|-|0.0022|0|-100||497.9722|147.866|-70.3063745325542|964.387|0|0|51.1265092402464|15.3326413566338||||974
|  Spurdog (zero TAC)|-|0|-|-|27.7594|-|-|0.004|-||-|27.7634|-|0|0.628900000000002|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.16666666666667||97.6145833333333||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.4144736842105||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.59913793103448||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.530612244898||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.3623188405797||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.3611111111111||||345

|2016 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2017
|43054||||||||||||This weeks report includes swap numbers 1631-1665

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2016|2017||||Quota
||2016|2017|change|2016|2017|change|2016|2017|change||2016|2017|change|2017|Tonnes|%|%|%||||2016

|Norway
|Tusk|1.62|1.919|18.4567901234568|0|0.1107|-|0.21|0.231|9.99999999999998||1.83|2.2607|23.535519125683|4|0.108|2.7|45.75|56.5175||||4
|Monkfish|139.19|73.329|-47.3173360155184|15.7429|6.4933|-|0|15.4329|-||154.9329|95.2552|-38.5184166823186|149|4.75699999999998|3.19261744966441|86.0738333333333|63.9296644295302||||180
|Ling |98.6|81.209|-17.6379310344828|0|12.6608|-|18.2658|10.5751|-42.1043699153609||116.8658|104.4449|-10.628344648306|136.2|3.70200000000001|2.71806167400882|81.1568055555556|76.6849486049927||||144
|Nephrops|0|0|-|0|0|-|0.0071|0.0024|-66.1971830985915||0.0071|0.0024|-66.1971830985915|53.2|0|0|0.0133962264150943|0.00451127819548872||||53
