|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43138||||||||||||This weeks report includes swap numbers 

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|0|1090.719|-|0|271.7619099996567|-|0|22.228|-||0|1384.708909999657|-|16808|545.4813100000384|3.2453671465970877|0|8.238391896713809||||16754
|  Haddock|0|1962.442|-|0|348.4562100013734|-|0|8.7202|-||0|2319.618410001374|-|27324|815.7061199991224|2.985310057089454|0|8.489307605040894||||44464
|  Whiting|0|884.9309999999999|-|0|69.6735|-|0|12.7785|-||0|967.3829999999999|-|13818|351.8866999999998|2.546581994499926|0|7.000890143291359||||9473
|  Saithe|0|620.2109999999999|-|0|112.10629999999999|-|0|186.6256|-||0|918.9428999999999|-|8452|457.7154999999998|5.41546971131093|0|10.872490534784665||||8710
|  Plaice|0|70.628|-|0|11.783799998855592|-|0|679.0166999999999|-||0|761.4284999988555|-|29816|494.3529500003815|1.6580123088287546|0|2.553758049365628||||27552
|  Sole|0|0|-|0|1.5917000000000001|-|0|29.9368|-||0|31.5285|-|672|27.368100000000002|4.072633928571428|0|4.691741071428571||||783
|  Hake|0|165.653|-|0|29.7927|-|0|14.177|-||0|209.62269999999998|-|658|66.30160000000001|10.076231003039515|0|31.85755319148936||||5317
|  Nephrops|0|449.82400000000007|-|0|184.8502000076294|-|0|3.0187|-||0|637.6929000076294|-|21237|210.16660000610364|0.9896247116170064|0|3.0027447379932637||||10801
|  Norway others|0|56.477000000000004|-|0|42.3284|-|0|0.27|-||0|99.0754|-|3750|89.1183|2.376488|0|2.6420106666666667||||2934
|  Monkfish|0|711.718|-|0|40.86551001234055|-|0|3.3970000000000002|-||0|755.9805100123406|-|13203|284.5185200027466|2.154953571178873|0|5.725823752271003||||9798
|  Megrim|0|63.647|-|0|4.5093|-|0|1.2464|-||0|69.4027|-|2430|23.388600000000004|0.9624938271604939|0|2.856078189300411||||2727
|  Lem Sole & Witches|0|89.27600000000001|-|0|4.674610000801087|-|0|9.495|-||0|103.4456100008011|-|3904|41.17312999973301|1.054639600402997|0|2.649733862725438||||3554
|  Skates & Rays|0|37.897999999999996|-|0|23.339599999999997|-|0|4.9594|-||0|66.19699999999999|-|1070|25.902099999999983|2.4207570093457926|0|6.186635514018691||||721
|  Dabs & Flounders|0|1.696|-|0|0|-|0|5.803|-||0|7.499|-|0|2.297999999999999|-|0|-||||1558
|  Turbot & Brill|0|2.209|-|0|1.4854|-|0|22.900299999999998|-||0|26.594699999999996|-|1097|20.7822|1.894457611668186|0|2.4243117593436643||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0174|-|0|0|-||0|0.0174|-|431|0.0174|0.004037122969837587|0|0.004037122969837587||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|0|0|-|0|0|-|0|0|-||0|0|-|45|0|0|0|0||||45
| Cod VIa,Vb (EC)|0|17.396|-|0|0|-|0|0|-||0|17.396|-|0|6.591000000000001|-|-|-||||0
| Haddock VIb, XII, XIV  |0|16.12|-|0|0|-|0|0|-||0|16.12|-|4136|0|0|0|0.3897485493230174||||2561
| Haddock VIa,Vb (EC)|0|140.405|-|0|3.0174|-|0|0|-||0|143.4224|-|3624|27.603399999999986|0.761683222958057|0|3.9575717439293596||||5077
|  Whiting|0|6.706|-|0|0|-|0|0|-||0|6.706|-|122|0.7639999999999993|0.6262295081967207|0|5.49672131147541||||122
|  Saithe|0|281.203|-|0|0.0023|-|0|0.3019|-||0|281.50719999999995|-|3308|85.3492|2.580084643288996|0|8.509891172914145||||2839
|  Plaice|0|1.579|-|0|0|-|0|0|-||0|1.579|-|388|0.04600000000000004|0.011855670103092793|0|0.40695876288659794||||388
|  Sole|0|0.005|-|0|0|-|0|0|-||0|0.005|-|11|0|0|0|0.045454545454545456||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|0|199.083|-|0|0.0012|-|0|0|-||0|199.0842|-|2825|60.571199999999976|2.1441132743362825|0|7.047228318584072||||2805
|  Nephrops|0|159.48000000000002|-|0|7.8934999999999995|-|0|0|-||0|167.3735|-|11842|47.60570000000001|0.40200726228677597|0|1.413388785678095||||17636
|  Megrim|0|40.591|-|0|0|-|0|0|-||0|40.591|-|1704|16.566000000000006|0.9721830985915496|0|2.3821009389671364||||1772
|  Pollack|0|4.324|-|0|0.0877|-|0|0|-||0|4.4117|-|145|0.8676999999999997|0.5984137931034481|0|3.042551724137931||||145
|Greenland Halibut II,IV,VI|0|0|-|0|0|-|0|0|-||0|0|-|1017|0|0|0|0||||974
|  Spurdog (zero TAC)|-|0|-|-|3.4088|-|-|0|-||-|3.4088|-|0|3.4088|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43138||||||||||||This weeks report includes swap numbers 

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0|0.322|-|0|0|-|0|0|-||0|0.322|-|4|0|0|0|8.05||||4
|Monkfish|0|4.301|-|0|0.2818|-|0|0.372|-||0|4.9548|-|305|1.5539999999999994|0.5095081967213113|0|1.6245245901639342||||180
|Ling |0|1.452|-|0|0.7402|-|0|0|-||0|2.1921999999999997|-|106|1.2621999999999995|1.1907547169811317|0|2.0681132075471695||||144
|Nephrops|0|0|-|0|0|-|0|0|-||0|0|-|42|0|0|0|0||||53
