|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43159||||||||||||This weeks report includes swap numbers 

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|0|1914.726|-|0|533.2982700037003|-|0|27.391|-||0|2475.4152700037007|-|16808|382.1111100059511|2.2733883270225554|0|14.72760155880355||||16754
|  Haddock|0|3288.026|-|0|514.9491899891138|-|0|12.4746|-||0|3815.4497899891135|-|27324|446.4526699877497|1.6339213511482567|0|13.963730749484386||||44464
|  Whiting|0|1672.6109999999996|-|0|202.4589000068665|-|0|17.4686|-||0|1892.5385000068661|-|13818|321.28000000686643|2.325083224828965|0|13.696182515609104||||9473
|  Saithe|0|1075.3479999999997|-|0|167.4434|-|0|412.5794|-||0|1655.3707999999997|-|8452|404.4240999999997|4.7849514907714115|0|19.58555134879318||||8710
|  Plaice|0|108.42699999999998|-|0|25.616079995679858|-|0|937.2341|-||0|1071.27717999568|-|29816|147.5519099982739|0.49487493291613205|0|3.592960759309364||||27552
|  Sole|0|0|-|0|2.3349|-|0|49.7945|-||0|52.1294|-|672|8.825600000000001|1.3133333333333335|0|7.75735119047619||||783
|  Hake|0|304.17300000000006|-|0|104.10499999999999|-|0|16.7661|-||0|425.0441|-|658|94.60210000000001|14.377218844984805|0|64.59636778115502||||5317
|  Nephrops|0|696.9989999999999|-|0|324.07500000762946|-|0|18.5427|-||0|1039.6167000076293|-|21237|112.6694|0.5305335028488016|0|4.895308659451096||||10801
|  Norway others|0|92.94099999999999|-|0|44.499|-|0|0.27|-||0|137.71|-|3750|3.8122999999999934|0.10166133333333316|0|3.672266666666667||||2934
|  Monkfish|0|1261.668|-|0|62.93395001974107|-|0|4.2768|-||0|1328.8787500197411|-|13203|156.38265000343335|1.1844478527867406|0|10.064975763233667||||9798
|  Megrim|0|114.38299999999998|-|0|8.031|-|0|1.9729|-||0|124.38689999999998|-|2430|20.139099999999985|0.8287695473251023|0|5.118802469135802||||2727
|  Lem Sole & Witches|0|189.712|-|0|8.402510000753402|-|0|11.4397|-||0|209.5542100007534|-|3904|22.797699999999935|0.5839574795081951|0|5.367679559445528||||3554
|  Skates & Rays|0|59.907000000000004|-|0|40.567100000762935|-|0|6.3765|-||0|106.85060000076294|-|1070|18.10129999999998|1.6917102803738298|0|9.986037383248874||||721
|  Dabs & Flounders|0|2.5370000000000004|-|0|0|-|0|9.691|-||0|12.228000000000002|-|0|2.123000000000001|-|0|-||||1558
|  Turbot & Brill|0|3.956|-|0|2.417139997673035|-|0|33.281099999999995|-||0|39.65423999767303|-|1097|5.304939997673031|0.48358614381704934|0|3.614789425494351||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0174|-|0|0|-||0|0.0174|-|431|0|0|0|0.004037122969837587||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|0|0|-|0|0|-|0|0|-||0|0|-|45|0|0|0|0||||45
| Cod VIa,Vb (EC)|0|39.217|-|0|0.0209|-|0|0|-||0|39.237899999999996|-|0|13.592999999999993|-|-|-||||0
| Haddock VIb, XII, XIV  |0|16.12|-|0|0|-|0|0|-||0|16.12|-|4136|0|0|0|0.3897485493230174||||2561
| Haddock VIa,Vb (EC)|0|240.92699999999996|-|0|11.026399999999999|-|0|0|-||0|251.95339999999996|-|3624|45.05999993896478|1.2433774817595138|0|6.95235651214128||||5077
|  Whiting|0|13.348999999999998|-|0|0.0472|-|0|0|-||0|13.396199999999999|-|122|3.234|2.6508196721311474|0|10.980491803278687||||122
|  Saithe|0|511.97800000000007|-|0|0.1295|-|0|0.6547|-||0|512.7622000000001|-|3308|75.28390000152609|2.27581318021542|0|15.500671100362762||||2839
|  Plaice|0|3.0979999999999994|-|0|0.1535|-|0|0|-||0|3.2514999999999996|-|388|0.49999999999999956|0.12886597938144317|0|0.8380154639175257||||388
|  Sole|0|0.014|-|0|0|-|0|0|-||0|0.014|-|11|0.008|0.07272727272727274|0|0.1272727272727273||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|0|396.2229999999999|-|0|3.7336|-|0|0|-||0|399.9565999999999|-|2825|65.30969999999996|2.3118477876106183|0|14.157755752212386||||2805
|  Nephrops|0|354.92600000000004|-|0|16.769|-|0|0.1463|-||0|371.84130000000005|-|11842|82.66230000000007|0.6980434048302657|0|3.140021111298767||||17636
|  Megrim|0|109.934|-|0|1.16|-|0|0|-||0|111.094|-|1704|39.68899999999999|2.329166666666666|0|6.5196009389671365||||1772
|  Pollack|0|5.1240000000000006|-|0|0.1258|-|0|0|-||0|5.2498000000000005|-|145|0.44510000000000005|0.3069655172413793|0|3.6205517241379312||||145
|Greenland Halibut II,IV,VI|0|0|-|0|0|-|0|0|-||0|0|-|1017|0|0|0|0||||974
|  Spurdog (zero TAC)|-|0|-|-|3.6693000000000002|-|-|0.0419|-||-|3.7112000000000003|-|0|0.047200000000000575|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43159||||||||||||This weeks report includes swap numbers 

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0|0.048|-|0|0|-|0|0|-||0|0.048|-|4|0|0|0|1.2||||4
|Monkfish|0|4.7330000000000005|-|0|0.4438|-|0|0.372|-||0|5.5488|-|305|0.22800000000000065|0.07475409836065594|0|1.81927868852459||||180
|Ling |0|1.755|-|0|1.3881999999999999|-|0|0|-||0|3.1431999999999998|-|106|0.556|0.5245283018867926|0|2.9652830188679244||||144
|Nephrops|0|0|-|0|0|-|0|0|-||0|0|-|42|0|0|0|0||||53
