|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43278||||||||||||This weeks report includes swap numbers 697-736

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|8286.7493|6814.004999999999|-17.772280138847695|52.7819|1781.9828999919891|3276.1249594879855|147.23|119.05860000000001|-19.134279698431012||8486.761199999999|8711.73449999199|2.65087345679045|18270.132|304.2901899932858|1.665506248084501|50.65513429628745|47.6829313548035||||16754
|  Haddock|10867.966600000002|8281.210000000001|-23.8016612969716|28.005499999999998|1426.800220059967|4994.714324186203|100.52789999999999|35.1953|-64.989520322219||10996.5|9743.205520059968|-11.397212567089818|30718.14499999999|323.4853800130113|1.0530758937852902|24.731243252968692|31.7180790703995||||44464
|  Whiting|4427.842900000001|4590.345999999999|3.670028582088991|206.6786|842.8888|307.82587069972413|62.9862|37.8328|-39.9347793643687||4697.507700000001|5471.0675999999985|16.46745358182164|14785.623999999998|92.6480999938949|0.6266093334572482|49.588384883352695|37.00261551355559||||9473
|  Saithe|3233.3810999999996|3510.1890000000008|8.560942599683074|0.2327|718.999149999237|308881.1559945153|772.1969000000001|1104.5822999999998|43.04412514476549||4005.8107|5333.770449999238|33.15083635877347|12220.473000000004|200.6273000000001|1.6417310524723556|45.99093800229621|43.64618660831898||||8710
|  Plaice|780.7057000000002|487.93799999999993|-37.5003922732984|94.281|92.2568999950409|-2.1468800765362155|6293.517000000001|3433.415|-45.445209729313525||7168.503700000001|4013.609899995041|-44.01049273372015|31447.865|284.05031000142117|0.9032419529956044|26.018088342044138|12.762742081203415||||27552
|  Sole|0.009899999999999999|0.028999999999999998|192.92929292929293|72.84179999999999|30.8649|-57.627488612307765|194.68309999999997|156.3121|-19.709466307039484||267.53479999999996|187.206|-30.0255518160628|777.983|1.2378999999999962|0.15911658738044357|34.16791826309068|24.062993664385985||||783
|  Hake|1323.9816|844.6810000000002|-36.20145476341967|0.6978|284.77660000000003|40710.63341931787|22.999399999999998|32.267300000000006|40.29626859831129||1347.6788|1161.7249000000002|-13.798087496813022|2623.7840000000006|67.80780000000004|2.584351455760079|25.346601466992663|44.27669731959642||||5317
|  Nephrops|3274.0747000000006|2016.7200000000003|-38.403360192117795|1184.4846999999997|660.5064|-44.23681454053395|9.353299999999999|32.1593|243.82838142687615||4467.9127|2709.3857000000003|-39.35902776256125|21921.312999999995|151.38909999999987|0.690602337551587|41.36573187667808|12.359595887344891||||10801
|  Norway others|1203.0364|637.7|-46.99246007851466|0|295.673|-|165.52839999999998|1.4205999999999999|-99.14177869175319||1368.5647999999999|934.7936000000001|-31.695335142333036|3409.999999999999|29.172000000000025|0.8554838709677428|46.645017041581454|27.41330205278593||||2934
|  Monkfish|4785.727|4771.205|-0.30344396995482475|31.347599999999996|501.47943001117704|1499.7378747054865|100.43440000000001|133.4013|32.82431119218114||4917.509|5406.085730011177|9.935451668948172|13113.999999999998|105.52640000152587|0.8046850694031256|50.188905899163096|41.22377405834358||||9798
|  Megrim|601.3355000000001|788.538|31.131123973222905|0.0854|28.4428|33205.386416861824|4|5.2992|32.48||605.4209000000002|822.2800000000001|35.819559582432625|2659.3689999999997|36.94200000000012|1.389126518358307|22.20098643197654|30.92011676454077||||2727
|  Lem Sole & Witches|623.3756000000001|808.6910000000003|29.727727553019424|23.354699999999998|52.35267000732422|124.16331619470269|115.7551|135.0019|16.62717236648753||762.4854|996.0455700073245|30.631428484705996|3769.0000000000005|54.080810000992074|1.4348848501191847|21.45428812605515|26.427316795100143||||3554
|  Skates & Rays|172.35389999999998|167.91299999999995|-2.576617065236138|163.951|169.827|3.583997657836796|17.452199999999998|11.918700000000001|-31.70660432495615||353.7571|349.65869999999995|-1.1585350513106385|1003.9999999999998|7.963400000000036|0.7931673306772946|49.064785020804436|34.826563745019925||||721
|  Dabs & Flounders|0|4.333|-|0|0|-|0|60.868|-||0|65.20100000000001|-|0|5.457999999999991|-|0|-||||1558
|  Turbot & Brill|24.837799999999998|15.746999999999998|-36.60066511526786|27.257499999999997|9.676300000000001|-64.50041273044116|194.49179999999996|119.10759999999999|-38.75957752460514||246.58709999999996|144.53089999999997|-41.387485395626946|902.1999999999992|4.089800001525873|0.45331412120659237|47.238908045977006|16.019829306140558||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0222|-|0|0|-||0|0.0222|-|427.44600000000014|0|0|0|0.005193638494687047||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|20.0666|24.256|20.87747799826577|0|0|-|0|0|-||20.0666|24.256|20.87747799826577|45|4.5120000000000005|10.026666666666667|44.592444444444446|53.90222222222222||||45
| Cod VIa,Vb (EC)|120.98559999999999|100.23599999999999|-17.150470799830725|0.7058|15.502300000000002|2096.4154151317657|0.4006|0.8276|106.59011482775836||122.09199999999998|116.5659|-4.526176981292784|0|6.495800000000017|-|-|-||||0
| Haddock VIb, XII, XIV  |2395.8701|2297.107|-4.122222653056195|0|0|-|0|0|-||2395.8701|2297.107|-4.122222653056195|4244.960000000001|184.55999999999995|4.347744148354753|93.55213197969543|54.11374901059137||||2561
| Haddock VIa,Vb (EC)|1167.5996999999998|1410.6779999999999|20.818633303862633|14.636999999999997|35.9734|145.77030812324935|0.18030000000000002|1.4343|695.5074875207986||1182.4169999999997|1448.0856999999999|22.468274728797052|3958.8689999999997|113.46669999389644|2.86613929366939|23.289678944258412|36.57826768200716||||5077
|  Whiting|74.0802|71.61000000000001|-3.334494237326561|0.17579999999999998|4.0418|2199.0898748577933|0.35890000000000005|0.098|-72.69434382836444||74.6149|75.74980000000001|1.5210098787239568|122|7.616000000000014|6.242622950819683|61.159754098360665|62.09||||122
|  Saithe|1730.6487999999997|1611.8560000000002|-6.864061616660728|0.0686|260.59799999999996|379780.46647230315|16.514499999999998|53.7362|225.38799237034124||1747.2318999999998|1926.1902000000002|10.242389690801804|3685.898|20.80899999999997|0.5645571309895164|61.5439203945051|52.258369602197355||||2839
|  Plaice|19.964199999999998|20.47|2.533535027699586|0.1731|1.0046000000000002|480.35817446562686|0.0494|0.113|128.74493927125508||20.1867|21.5876|6.939717734944296|430.67999999999995|1.061|0.24635460202470516|5.202757731958762|5.012445435125848||||388
|  Sole|0.4415|0.239|-45.86636466591167|0.055|0.0936|70.18181818181819|0.1415|0|-100||0.638|0.3326|-47.86833855799373|12.209999999999997|0.03710000000000002|0.3038493038493041|5.800000000000001|2.723996723996725||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|1567.1389000000001|1540.1889999999999|-1.7196880251010485|339.9674999999999|26.2302|-92.2844977828763|13.540099999999999|333.05350000000004|2359.7565749145137||1920.6465|1899.4726999999998|-1.1024308741874287|3023.9999999999995|51.008899999999585|1.6868022486772352|68.47224598930481|62.81325066137566||||2805
|  Nephrops|5747.189200000001|3063.0229999999997|-46.70398183515519|595.4471|229.4574|-61.46468762716285|0.175|1.8641|965.2||6342.811300000001|3294.3444999999992|-48.06176087880781|13589.462|291.0894000000003|2.142022988106522|35.965135518258116|24.241905235100546||||17636
|  Megrim|464.89570000000003|487.966|4.962467925601371|0.3157|9.573799999999999|2932.5625593918276|1.3209000000000002|18.3699|1290.710878946173||466.5323|515.9097|10.583918841203497|1899.9250000000002|25.222399999999823|1.3275471400186756|26.328007900677203|27.154213982130877||||1772
|  Pollack|10.1371|18.855999999999998|86.00980556569431|0.7565999999999998|1.8912000000000002|149.96034892942117|0.0082|0|-100||10.901900000000001|20.7472|90.30811143011765|145|0.8930000000000007|0.6158620689655177|7.518551724137931|14.308413793103448||||145
|Greenland Halibut II,IV,VI|89.73259999999999|23.182|-74.16546494807906|0|0|-|0|0|-||89.73259999999999|23.182|-74.16546494807906|1071.439|17.814999999999998|1.6627171495530773|9.212792607802873|2.1636322739792||||974
|  Spurdog (zero TAC)|-|0|-|-|12.0861|-|-|0.0419|-||-|12.128|-|0|0.32209999999999894|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43278||||||||||||This weeks report includes swap numbers 697-736

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0.7991|0.9239999999999999|15.630083844324853|0|0.0112|-|0.2028|0|-100||1.0019|0.9351999999999999|-6.657351033037238|3.999999999999999|0|0|25.0475|23.380000000000003||||4
|Monkfish|39.04070000000001|37.666999999999994|-3.51863568020044|0|7.0285|-|0|0.5704|-||39.04070000000001|45.265899999999995|15.945410814867525|233.49999999999997|0.7149999999999963|0.3062098501070648|21.689277777777782|19.3858244111349||||180
|Ling |62.916500000000006|48.194|-23.400061986919173|0|29.0717|-|9.669599999999999|0.038|-99.60701580210143||72.5861|77.3037|6.499315984740886|143.00000000000006|0.7099999999999795|0.49650349650348197|50.40701388888888|54.058531468531456||||144
|Nephrops|0|0|-|0|0|-|0.0024|0|-100||0.0024|0|-100|42|0|0|0.004528301886792452|0||||53
