|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43285||||||||||||This weeks report includes swap numbers 737-767

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|8623.1304|7180.492999999998|-16.72985717576534|53.8136|1876.363199996185|3386.782523369901|148.2848|130.85240000000002|-11.756026241394919||8825.228799999999|9184.396599996182|4.069784570301261|20876.304852464265|472.66210000419414|2.2641080562128337|52.675353945326485|43.9943594659284||||16754
|  Haddock|11319.253000000002|8854.526|-21.774643609432548|28.079399999999996|1645.3977300590514|5759.803735332847|100.59089999999999|36.6023|-63.612712481944186||11447.923300000002|10536.52603005905|-7.961245424669741|30870.31376895671|793.3205099990828|2.569849195367909|25.746498965455206|34.1315806146895||||44464
|  Whiting|4582.569|4752.679|3.71210995404542|209.35289999999998|886.0048999999999|323.2111902916081|62.99529999999999|38.2175|-39.33277561976845||4854.9172|5676.9014|16.930962282940683|15087.514581424557|205.83380000000125|1.3642657900289268|51.25004961469439|37.6264849280695||||9473
|  Saithe|3395.8077999999996|3718.063|9.489795034925137|0.2327|819.4404|352044.5638160722|772.1992000000001|1111.8907|43.99013881392259||4168.2397|5649.3940999999995|35.53429041040992|12635.594632056764|315.6236500007617|2.49789312803703|47.85579448909299|44.71015622539338||||8710
|  Plaice|810.6441000000002|532.29|-34.337399112631566|97.9205|108.62101998977661|10.927762817567933|6675.928000000001|3623.9529|-45.71611766933377||7584.492600000001|4264.863919989777|-43.76863232762893|30247.822222640378|251.25401999473615|0.8306516024372608|27.527920296167252|14.099738779863442||||27552
|  Sole|0.009899999999999999|0.028999999999999998|192.92929292929293|77.2533|35.627700000000004|-53.88197009059807|198.88169999999997|156.91230000000002|-21.10269572313589||276.14489999999995|192.56900000000002|-30.26523394058697|774.0077498400976|5.363000000000028|0.6928871191674723|35.2675478927203|24.87946665130716||||783
|  Hake|1492.5314|921.0600000000002|-38.288735499970045|0.6989|300.41220000000004|42883.57418800974|24.397899999999996|34.0501|39.56160161325362||1517.6282|1255.5223|-17.270758411052192|2623.7000960030955|93.7973999999997|3.57500463345217|28.542941508369385|47.853117889222304||||5317
|  Nephrops|3533.3264000000004|2319.4320000000002|-34.35556930149448|1238.9082999999998|686.4834|-44.58965203477933|9.388|32.204299999999996|243.03685556028972||4781.6227|3038.1197|-36.462579952199064|21921.121706765218|328.7340000000004|1.4996221653135007|44.270185168039994|13.859325907863496||||10801
|  Norway others|1277.1021|693.295|-45.71342416553853|0|423.88390000000004|-|165.80119999999997|1.4205999999999999|-99.14319076098363||1442.9033|1118.5994999999998|-22.475781987607913|3409.999999999999|183.80589999999995|5.390202346041056|49.178708248125425|32.80350439882698||||2934
|  Monkfish|4982.0028999999995|4889.536999999999|-1.8559985181863334|31.527099999999997|507.80339001045223|1510.6885505182913|101.56930000000001|134.3335|32.25797558908053||5115.0993|5531.673890010451|8.144017653976945|13136.499999999998|125.58815999927538|0.9560245118507624|52.20554500918555|42.10919110882238||||9798
|  Megrim|622.3729000000002|820.0050000000002|31.75461206617447|0.0854|29.2431|34142.50585480093|4.0859|5.6296|37.78114980787588||626.5442000000003|854.8777000000002|36.44331876346471|2659.3689999999997|32.59770000000026|1.2257682179494558|22.975584891822525|32.145884982490216||||2727
|  Lem Sole & Witches|641.2563000000001|844.6730000000001|31.7215908833956|23.7934|57.05072000198364|139.77539990914977|131.9558|147.35510000000002|11.670044060208047||797.0055000000002|1049.0788200019838|31.627550876623|3769|53.03324999465917|1.407090740107699|22.425590883511543|27.834407535207852||||3554
|  Skates & Rays|177.00289999999998|174.977|-1.144557518549119|165.618|180.164|8.782861766233134|18.486299999999996|12.1924|-34.04629374185206||361.1072|367.3334|1.7241971359197508|1003.9999999999998|17.67470000000003|1.7604282868525931|50.08421636615811|36.58699203187252||||721
|  Dabs & Flounders|0|5.433|-|0|0|-|0|64.75099999999999|-||0|70.184|-|0|4.983000000000004|-|0|-||||1558
|  Turbot & Brill|26.1608|18.057|-30.976881440934527|28.535599999999995|11.735199999999999|-58.87522953784045|204.48579999999995|123.8604|-39.428361284744454||259.18219999999997|153.6526|-40.71637635609234|902.1999999999992|9.121700000000004|1.0110507647971638|49.65176245210727|17.030880070937723||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0222|-|0|0|-||0|0.0222|-|427.44600000000014|0|0|0|0.005193638494687047||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|23.0441|27.197|18.021532626572522|0|0|-|0|0|-||23.0441|27.197|18.021532626572522|45|2.940999999999999|6.535555555555553|51.20911111111111|60.43777777777778||||45
| Cod VIa,Vb (EC)|121.35069999999999|103.11399999999999|-15.02809625325606|0.7058|8.0495|1040.4788892037407|0.4006|1.543|285.17224163754366||122.45709999999998|112.70649999999999|-7.962461956064608|0|-3.859400000000008|-|-|-||||0
| Haddock VIb, XII, XIV  |2566.6761|2400.922|-6.457928213069039|0|0|-|0|0|-||2566.6761|2400.922|-6.457928213069039|4245.030000000001|103.81500000000005|2.445565755719042|100.22163607965639|56.558422437532826||||2561
| Haddock VIa,Vb (EC)|1181.1624999999997|1482.4979999999998|25.511773358873164|14.636999999999997|34.886799999999994|138.3466557354649|0.18030000000000002|2.4503|1259.0127565169162||1195.9797999999996|1519.8350999999998|27.078659689737254|3958.9080975034385|71.74940000000015|1.8123532608712654|23.556820957258214|38.39025970212433||||5077
|  Whiting|77.4405|75.445|-2.576817040179243|0.17579999999999998|3.8707000000000003|2101.7633674630265|0.35890000000000005|0.098|-72.69434382836444||77.9752|79.41369999999999|1.8448173265345784|122|3.663899999999984|3.003196721311462|63.914098360655736|65.09319672131146||||122
|  Saithe|1732.5601999999997|1668.287|-3.7097239103148993|0.0686|260.59799999999996|379780.46647230315|16.514499999999998|96.50540000000001|484.36767689000584||1749.1432999999997|2025.3904|15.793280058872266|3685.8139819294333|99.20019999999977|2.691405493775649|61.61124691792884|54.95096632466942||||2839
|  Plaice|20.496699999999997|21.808999999999997|6.402494060019421|0.1731|1.0046000000000002|480.35817446562686|0.0494|0.113|128.74493927125508||20.719199999999997|22.926599999999997|10.65388625043438|430.6334073886587|1.3389999999999986|0.3109373255827116|5.34|5.323925084917552||||388
|  Sole|0.4791|0.301|-37.1738676685452|0.055|0.0936|70.18181818181819|0.1415|0|-100||0.6756|0.3946|-41.5926583777383|12.209999999999997|0.062|0.5077805077805079|6.141818181818182|3.231777231777232||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|1585.4112000000002|1574.4019999999996|-0.6944065993731244|339.9733999999999|26.275299999999998|-92.27136593627618|13.540099999999999|335.43350000000004|2377.333993101972||1938.9247|1936.1107999999997|-0.14512683241388027|3023.9999999999995|36.638099999999895|1.2115773809523775|69.1238752228164|64.02482804232804||||2805
|  Nephrops|6144.036300000001|3322.9310000000005|-45.91615612687705|652.555|308.8869|-52.66500141750503|0.175|9.8579|5533.085714285715||6796.766300000001|3641.6758000000004|-46.42046468480166|13589.270225105927|347.33130000000074|2.5559231235119055|38.53916024041734|26.798170465931797||||17636
|  Megrim|489.3607|510.524|4.324683204025169|0.3157|9.573699999999999|2932.530883750396|1.4689|18.8222|1181.380624957451||491.1453|538.9199|9.727182566951157|1899.8083047269506|23.010200000000168|1.211185357109348|27.717003386004517|28.367067280372588||||1772
|  Pollack|10.1424|19.554|92.7946048272598|0.7565999999999998|1.8912000000000002|149.96034892942117|0.0082|0|-100||10.907200000000001|21.4452|96.61507994719082|145.00000000000003|0.6980000000000004|0.4813793103448278|7.522206896551725|14.789793103448273||||145
|Greenland Halibut II,IV,VI|124.44919999999999|30.588|-75.42129640045898|0|0|-|0|0|-||124.44919999999999|30.588|-75.42129640045898|1071.439|7.406000000000002|0.6912199387925959|12.77712525667351|2.8548522127717955||||974
|  Spurdog (zero TAC)|-|0|-|-|10.997|-|-|0.0419|-||-|11.0389|-|0|-1.0891000000000002|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43285||||||||||||This weeks report includes swap numbers 737-767

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|1.283|1.032|-19.563522992985185|0|0.0112|-|0.2028|0|-100||1.4858|1.0432000000000001|-29.78866603849777|3.999999999999999|0.10800000000000021|2.700000000000006|37.145|26.08000000000001||||4
|Monkfish|42.875600000000006|39.346|-8.23218800436614|0|9.8826|-|0|0.5704|-||42.875600000000006|49.799|16.147645747231508|225.99999999999997|4.533100000000005|2.0057964601769935|23.81977777777778|22.034955752212394||||180
|Ling |66.59190000000001|50.427|-24.274573934667742|0|40.044999999999995|-|9.669599999999999|0.038|-99.60701580210143||76.26150000000001|90.50999999999999|18.68373950158334|158.00000000000006|13.206299999999999|8.358417721518983|52.95937500000001|57.28481012658225||||144
|Nephrops|0|0|-|0|0|-|0.0024|0|-100||0.0024|0|-100|42|0|0|0.004528301886792452|0||||53
