|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43257||||||||||||This weeks report includes swap numbers 583-617

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|7205.9698|6035.508000000002|-16.242946230499026|50.6159|1753.8553099967955|3365.028400160415|137.826|115.9531|-15.869937457373782||7394.4117|7905.316409996797|6.909335464737479|20018.332000000006|324.79269999923963|1.6224763381846177|44.13520174286737|39.49038516294362||||16754
|  Haddock|9142.140800000003|7440.609|-18.61196230974699|26.8373|1408.291590046954|5147.515920181815|91.2674|34.129|-62.60548673458432||9260.245500000003|8883.029590046955|-4.073497942933015|30870.344999999994|369.6227899832229|1.1973393558874155|20.82638876394387|28.77528446814235||||44464
|  Whiting|3879.4554|4358.328000000001|12.343809906926666|187.70719999999997|841.88800000782|348.5112984519614|62.4482|36.7285|-41.18565467059099||4129.6107999999995|5236.944500007821|26.81448091931138|15080.323999999999|109.92680000000018|0.7289418980653214|43.593484640557364|34.72700254986446||||9473
|  Saithe|2798.0699999999997|3032.638|8.383206996250996|0.2186|694.4793499992371|317594.1216830911|771.1211000000002|1104.5194999999999|43.23554367789957||3569.4097|4831.636849999237|35.36234997061942|12635.573000000004|263.33849999999984|2.0841041399547113|40.9805935706085|38.238367583323964||||8710
|  Plaice|615.5185|390.097|-36.62302595291612|83.0494|118.44373999209404|42.61841746249104|5131.619100000001|2689.6005|-47.58768241391884||5830.187000000001|3198.141239992094|-45.14513445294133|31447.865|189.23143000221307|0.6017306103362281|21.16066710220674|10.16966092926211||||27552
|  Sole|0.009899999999999999|0.014|41.41414141414143|61.0043|24.3896|-60.019867451966505|187.81849999999997|156.091|-16.89263837161939||248.8327|180.49460000000002|-27.46347244554272|777.983|5.511099999999999|0.7083830880623355|31.779399744572157|23.200326999433155||||783
|  Hake|1000.2184000000002|733.5509999999999|-26.660917255671386|0.6622999999999999|218.56029999999998|32900.19628567115|21.2156|31.1598|46.87211297347236||1022.0963000000002|983.2710999999999|-3.7985853192111367|2513.784|37.954399999999964|1.5098512839607525|19.223176603347756|39.115178551538236||||5317
|  Nephrops|2720.7197000000006|1649.6729999999998|-39.366300762257886|1055.5881|638.1956|-39.541228249920586|6.176100000000001|31.972499999999997|417.6810608636517||3782.4839000000006|2319.8410999999996|-38.66884403658666|21921.312999999995|32.04599999999982|0.14618649895651703|35.01975650402741|10.582582804232576||||10801
|  Norway others|913.7021|365.204|-60.03029871552228|0|307.673|-|164.34019999999998|1.4205999999999999|-99.13557364540142||1078.0423|674.2976|-37.45165658156457|3509.999999999999|161.80640000000017|4.609868945868952|36.743091342876625|19.21075783475784||||2934
|  Monkfish|4141.6539|4215.494|1.7828650530166086|29.394299999999998|325.97335001049044|1008.9678951718206|13.4908|14.048700000000002|4.135410798470082||4184.539|4555.51605001049|8.865422212828953|13113.999999999998|126.83656000175233|0.9671843831153907|42.70809348846703|34.737807305250044||||9798
|  Megrim|496.0541000000001|661.305|33.31308016605443|0.0854|27.499200000000002|32100.468384074942|3.9586|5.2992|33.865508007881566||500.0981000000001|694.1034|38.793448725360044|2659.3689999999992|38.83150000000012|1.4601772074503436|18.338764209754313|26.100304245104766||||2727
|  Lem Sole & Witches|528.5531000000001|732.182|38.5257223919413|18.851599999999998|44.6470200061798|136.83411490897223|85.5377|66.963|-21.715220306367844||632.9424|843.7920200061798|33.31260790968969|3769.0000000000005|37.23887999954218|0.9880307773823873|17.809296567248172|22.38768957299495||||3554
|  Skates & Rays|155.4663|146.74699999999996|-5.608482352767148|156.4232|154.8919|-0.978946856987976|16.246999999999996|11.373399999999998|-29.996922508770847||328.1365|313.0122999999999|-4.609118461372047|1018.9999999999998|12.60430000000008|1.236928361138379|45.511303744798894|30.717595682041214||||721
|  Dabs & Flounders|0|4.221|-|0|0|-|0|48.035|-||0|52.256|-|0|1.4770000000000039|-|0|-||||1558
|  Turbot & Brill|19.3357|12.823000000000002|-33.68225613761073|22.7108|9.93927999842167|-56.23544745926312|170.17619999999994|108.21000000000001|-36.41296491518788||212.22269999999992|130.97227999842167|-38.28545202826007|902.1999999999994|6.5198000007629275|0.7226557305212737|40.6556896551724|14.516989580849232||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0222|-|0|0|-||0|0.0222|-|427.44600000000014|0|0|0|0.005193638494687047||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|15.99|14.549|-9.011882426516578|0|0|-|0|0|-||15.99|14.549|-9.011882426516578|45|0|0|35.53333333333333|32.33111111111111||||45
| Cod VIa,Vb (EC)|117.3275|87.61899999999997|-25.321003174873773|0.7024|14.933500000000002|2026.0677676537587|0.4006|0.8276|106.59011482775836||118.4305|103.38009999999998|-12.708212833687277|0|2.6233000000000004|-|-|-||||0
| Haddock VIb, XII, XIV  |2129.9001000000003|1868.204|-12.286778145134615|0|0|-|0|0|-||2129.9001000000003|1868.204|-12.286778145134615|4244.960000000001|0|0|83.16673565013669|44.00993177792016||||2561
| Haddock VIa,Vb (EC)|1084.6509999999998|1192.2390000000003|9.919135279458594|14.332399999999996|34.4786|140.56403672797305|0.18030000000000002|1.0834|500.8874098724347||1099.1636999999998|1227.8010000000002|11.703197621973901|3958.8689999999997|72.46040000000008|1.830330834387298|21.64986606263541|31.013933524953725||||5077
|  Whiting|64.7604|55.388000000000005|-14.472424506334114|0.17579999999999998|3.911|2124.6871444823664|0.35890000000000005|0.098|-72.69434382836444||65.2951|59.397000000000006|-9.032990224381306|122|1.9120000000000061|1.5672131147541033|53.52057377049181|48.6860655737705||||122
|  Saithe|1720.1906999999999|1522.1870000000001|-11.510566822620293|0.0686|260.223|379233.81924198254|16.514499999999998|52.8332|219.9200702413031||1736.7738|1835.2432000000001|5.669673275817506|3685.8979999999997|57.32799999999975|1.5553333271837622|61.17554772807326|49.7909383276477||||2839
|  Plaice|18.0673|16.990000000000002|-5.96270610439854|0.1731|1.0046000000000002|480.35817446562686|0.0494|0.113|128.74493927125508||18.2898|18.1076|-0.9961836652122941|430.67999999999995|0.9630000000000045|0.2235998885483432|4.713865979381443|4.204420915761123||||388
|  Sole|0.3234|0.184|-43.10451453308596|0.0327|0.0527|61.16207951070336|0.1415|0|-100||0.49760000000000004|0.2367|-52.43167202572347|12.209999999999997|0.03|0.24570024570024573|4.5236363636363635|1.938574938574939||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|1501.4053000000001|1426.062|-5.0181852961355755|339.1001999999999|24.4199|-92.79861822552743|13.540099999999999|313.51320000000004|2215.4422788605702||1854.0456|1763.9951|-4.856973312846233|3044.9999999999995|13.306900000000041|0.4370082101806254|66.09788235294117|57.9308735632184||||2805
|  Nephrops|4420.681500000001|2360.5559999999996|-46.60198885624311|459.3131|71.708|-84.38799154650715|0.175|0.1554|-11.199999999999989||4880.169600000001|2432.4193999999998|-50.157072409942494|13589.462000000001|202.06339999999955|1.4869124325893073|27.671635291449313|17.89930609467836||||17636
|  Megrim|413.34560000000005|454.96200000000005|10.06818507321718|0.3157|9.3926|2875.166297117517|1.3209000000000002|0.3559|-73.05624952683777||414.98220000000003|464.7105000000001|11.983236871364614|1899.9250000000002|6.2169999999999845|0.3272234430306451|23.41886004514673|24.45941287156072||||1772
|  Pollack|10.131|16.599|63.84364820846905|0.7565999999999998|1.8912000000000002|149.96034892942117|0.0082|0|-100||10.895800000000001|18.4902|69.70025147304464|145|7.400500000000001|5.103793103448276|7.514344827586207|12.751862068965519||||145
|Greenland Halibut II,IV,VI|53.7469|5.367|-90.01430780193836|0|0|-|0|0|-||53.7469|5.367|-90.01430780193836|1071.439|2.895|0.27019737007893124|5.518162217659137|0.5009151244261222||||974
|  Spurdog (zero TAC)|-|0|-|-|8.164100000000001|-|-|0.0419|-||-|8.206000000000001|-|0|-0.14139999999999908|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43257||||||||||||This weeks report includes swap numbers 583-617

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0.7823|0.8029999999999999|2.6460437172440168|0|0.0112|-|0.2028|0|-100||0.9851|0.8141999999999999|-17.34849253882855|3.999999999999999|0.05499999999999994|1.374999999999999|24.627499999999998|20.355000000000004||||4
|Monkfish|35.0294|30.724999999999994|-12.287963824673012|0|7.0285|-|0.4415|0.5704|29.195922989807478||35.4709|38.323899999999995|8.043212887183563|248.49999999999997|6.215999999999994|2.5014084507042234|19.706055555555555|15.422092555331993||||180
|Ling |48.24280000000001|38.754|-19.668841775353027|0|29.0717|-|9.669599999999999|0.038|-99.60701580210143||57.912400000000005|67.8637|17.183366601971233|143.00000000000006|10.738799999999998|7.509650349650345|40.216944444444444|47.45713286713284||||144
|Nephrops|0|0|-|0|0|-|0.0024|0|-100||0.0024|0|-100|42|0|0|0.004528301886792452|0||||53
