|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43180||||||||||||This weeks report includes swap numbers 88-164

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|0|2501.0399999999995|-|0|793.1950700021744|-|0|38.0608|-||0|3332.295870002174|-|19067.4|373.1151999996182|1.9568226396866808|0|17.47640407188276||||16754
|  Haddock|0|4107.468000000001|-|0|696.7461899898767|-|0|23.749200000000002|-||0|4827.963389989878|-|30870.399999999998|451.98410000076274|1.4641342515832731|0|15.63945847799147||||44464
|  Whiting|0|2260.968999999999|-|0|341.41250000782014|-|0|20.9835|-||0|2623.365000007819|-|14945.599999999999|299.71869999999944|2.0053975752060773|0|17.55275800240753||||9473
|  Saithe|0|1379.0280000000002|-|0|293.4398|-|0|618.6766999999999|-||0|2291.1445000000003|-|10428.800000000003|311.2438000000004|2.98446417612765|0|21.969397246087755||||8710
|  Plaice|0|129.478|-|0|37.87563999247551|-|0|1386.8805|-||0|1554.2341399924755|-|32567.3|153.95694999732973|0.4727347676882324|0|4.772376402073477||||27552
|  Sole|0|0.002|-|0|2.9529|-|0|80.3271|-||0|83.282|-|820|8.775900000000007|1.070231707317074|0|10.156341463414634||||783
|  Hake|0|371.33199999999994|-|0|138.4331|-|0|17.7037|-||0|527.4688|-|2069.4999999999995|21.808199999999772|1.0537907707175538|0|25.48774100024161||||5317
|  Nephrops|0|882.0599999999998|-|0|396.99710000610355|-|0|23.1406|-||0|1302.1977000061033|-|22151.099999999995|83.77439999847434|0.3781952137748209|0|5.878704443599206||||10801
|  Norway others|0|95.149|-|0|45.5013|-|0|0.27|-||0|140.92030000000003|-|3509.899999999999|0.40200000000001523|0.01145331775834113|0|4.014937747514176||||2934
|  Monkfish|0|1818.971|-|0|88.12406001996995|-|0|5.0218|-||0|1912.1168600199699|-|13154.1|181.69954999847414|1.3813149512203353|0|14.536280399418963||||9798
|  Megrim|0|196.044|-|0|13.463|-|0|2.9104|-||0|212.41740000000001|-|2684.3|35.065200000000004|1.3063070446671388|0|7.913325634243565||||2727
|  Lem Sole & Witches|0|294.78800000000007|-|0|14.730019999074937|-|0|15.7048|-||0|325.222819999075|-|3878.8999999999996|31.546829999160764|0.813293201659253|0|8.384408466293925||||3554
|  Skates & Rays|0|73.566|-|0|59.07490000076294|-|0|7.816|-||0|140.45690000076294|-|1055.1000000000001|12.752999999999986|1.2087005970997995|0|13.312188418231724||||721
|  Dabs & Flounders|0|2.583|-|0|0|-|0|15.133999999999999|-||0|17.717|-|0|1.866999999999999|-|0|-||||1558
|  Turbot & Brill|0|4.8309999999999995|-|0|3.5292799976587297|-|0|53.5925|-||0|61.95277999765873|-|992.4|3.897600000000004|0.39274486094316846|0|6.242722692226796||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0174|-|0|0|-||0|0.0174|-|427.3000000000001|0|0|0|0.004072080505499647||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|0|4.73|-|0|0|-|0|0|-||0|4.73|-|45|0|0|0|10.511111111111113||||45
| Cod VIa,Vb (EC)|0|43.703|-|0|1.4006|-|0|0|-||0|45.1036|-|0|4.08809999999999|-|-|-||||0
| Haddock VIb, XII, XIV  |0|147.898|-|0|0|-|0|0|-||0|147.898|-|4244.999999999999|0|0|0|3.484051825677268||||2561
| Haddock VIa,Vb (EC)|0|594.941|-|0|11.659600000000001|-|0|0|-||0|606.6006|-|3958.899999999999|82.30690000000003|2.0790345803127144|0|15.322453206698833||||5077
|  Whiting|0|31.500999999999998|-|0|0.8972|-|0|0|-||0|32.398199999999996|-|122|4.317999999999998|3.5393442622950797|0|26.55590163934426||||122
|  Saithe|0|828.4789999999999|-|0|53.8864|-|0|0.6547|-||0|883.0201|-|3685.8000000000006|86.97599999999989|2.359759075370337|0|23.957352542188936||||2839
|  Plaice|0|6.732999999999999|-|0|0.5897|-|0|0|-||0|7.322699999999998|-|430.49999999999994|0.4709999999999992|0.1094076655052263|0|1.7009756097560973||||388
|  Sole|0|0.019|-|0|0|-|0|0|-||0|0.019|-|12.1|0|0|0|0.15702479338842976||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|0|605.507|-|0|12.031400001525878|-|0|0|-||0|617.5384000015258|-|2832.2000000000003|45.057999999999765|1.5909187204293396|0|21.80419461907795||||2805
|  Nephrops|0|682.8120000000001|-|0|30.7949|-|0|0|-||0|713.6069000000001|-|13589.399999999996|125.83560000000023|0.9259834871296766|0|5.251202407758991||||17636
|  Megrim|0|206.091|-|0|6.3175|-|0|0|-||0|212.4085|-|1899.9000000000003|26.962999999999994|1.4191799568398331|0|11.179983157008262||||1772
|  Pollack|0|6.534|-|0|0.2821|-|0|0|-||0|6.8161|-|144.69999999999996|0.23580000000000023|0.16295784381478942|0|4.710504492052523||||145
|Greenland Halibut II,IV,VI|0|0|-|0|0|-|0|0|-||0|0|-|1071.3999999999999|0|0|0|0||||974
|  Spurdog (zero TAC)|-|0|-|-|5.0649999999999995|-|-|0.0419|-||-|5.1068999999999996|-|0|0.20889999999999986|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43180||||||||||||This weeks report includes swap numbers 88-164

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0|0.108|-|0|0|-|0|0|-||0|0.108|-|3.9999999999999996|0|0|0|2.7||||4
|Monkfish|0|4.7940000000000005|-|0|0.8853|-|0|0.372|-||0|6.0513|-|268.09999999999997|0.3743999999999996|0.1396493845580006|0|2.2571055576277512||||180
|Ling |0|1.912|-|0|1.8874|-|0|0|-||0|3.7994|-|107.1|0.2711999999999999|0.25322128851540604|0|3.5475256769374415||||144
|Nephrops|0|0|-|0|0|-|0|0|-||0|0|-|42|0|0|0|0||||53
