|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43173||||||||||||This weeks report includes swap numbers 1-87

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|0|2269.1749999999997|-|0|656.8140700025558|-|0|33.1916|-||0|2959.1806700025554|-|18957.4|234.34479999885525|1.2361652969228651|0|15.609633546807869||||16754
|  Haddock|0|3748.882|-|0|612.2748899891138|-|0|14.822399999999998|-||0|4375.979289989114|-|29870.399999999998|183.680800000001|0.6149258128448264|0|14.649885137089273||||44464
|  Whiting|0|2035.6749999999995|-|0|267.45690000782014|-|0|20.5144|-||0|2323.6463000078197|-|14945.600000000002|140.6920000009536|0.9413606680290761|0|15.547360427201445||||9473
|  Saithe|0|1264.801|-|0|199.8435|-|0|515.2562|-||0|1979.9007|-|9728.800000000001|105.67710000000011|1.0862295452676598|0|20.350924060521336||||8710
|  Plaice|0|120.84299999999998|-|0|31.833489995145793|-|0|1247.6007|-||0|1400.2771899951458|-|32567.3|104.15370999946617|0.31981069968792675|0|4.299641634385245||||27552
|  Sole|0|0.002|-|0|2.842|-|0|71.6621|-||0|74.50609999999999|-|819|4.2912000000000035|0.5239560439560443|0|9.097203907203905||||783
|  Hake|0|351.07300000000004|-|0|137.4455|-|0|17.1421|-||0|505.66060000000004|-|1549.5|21.466500000000053|1.3853823814133626|0|32.633791545659896||||5317
|  Nephrops|0|832.9509999999997|-|0|364.22560000762945|-|0|21.246699999999997|-||0|1218.423300007629|-|22151.099999999995|77.0596999999998|0.3478820464897897|0|5.5005092298243845||||10801
|  Norway others|0|94.835|-|0|45.4133|-|0|0.27|-||0|140.5183|-|3509.8999999999996|-0.15100000000001046|-0.004302116869426778|0|4.003484429755834||||2934
|  Monkfish|0|1647.3799999999999|-|0|78.38151002149583|-|0|4.6558|-||0|1730.4173100214957|-|13154.100000000002|221.84006000175464|1.6864708342019186|0|13.154965448198624||||9798
|  Megrim|0|163.58200000000002|-|0|11.1513|-|0|2.6189|-||0|177.3522|-|2684.3|32.64380000000003|1.2161010319263876|0|6.607018589576426||||2727
|  Lem Sole & Witches|0|268.06|-|0|11.294889999914169|-|0|14.3211|-||0|293.6759899999142|-|3878.899999999999|31.06837999916081|0.8009585191461708|0|7.57111526463467||||3554
|  Skates & Rays|0|70.3|-|0|49.62610000076294|-|0|7.7778|-||0|127.70390000076294|-|1055.1000000000001|8.714899999999957|0.8259785802293581|0|12.103487821131925||||721
|  Dabs & Flounders|0|2.5770000000000004|-|0|0|-|0|13.273|-||0|15.85|-|0|2.4179999999999993|-|0|-||||1558
|  Turbot & Brill|0|4.543|-|0|2.76457999765873|-|0|50.747600000000006|-||0|58.05517999765873|-|992.3999999999999|5.764539999985686|0.5808686013689729|0|5.8499778312836295||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0174|-|0|0|-||0|0.0174|-|427.3000000000001|0|0|0|0.004072080505499647||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|0|4.73|-|0|0|-|0|0|-||0|4.73|-|45|2.5900000000000003|5.755555555555556|0|10.511111111111113||||45
| Cod VIa,Vb (EC)|0|39.63100000000001|-|0|1.3845|-|0|0|-||0|41.01550000000001|-|0|-3.3571999999999846|-|-|-||||0
| Haddock VIb, XII, XIV  |0|147.898|-|0|0|-|0|0|-||0|147.898|-|4244.999999999998|89.457|2.1073498233215555|0|3.484051825677269||||2561
| Haddock VIa,Vb (EC)|0|512.642|-|0|11.6517|-|0|0|-||0|524.2937000000001|-|3958.8999999999987|135.18799999999996|3.414786935764985|0|13.243418626386122||||5077
|  Whiting|0|27.182999999999996|-|0|0.8972|-|0|0|-||0|28.080199999999998|-|122|8.684999999999999|7.118852459016392|0|23.01655737704918||||122
|  Saithe|0|741.503|-|0|53.8864|-|0|0.6547|-||0|796.0441000000001|-|3663.800000000001|121.41849999999988|3.314004585403129|0|21.727280419236852||||2839
|  Plaice|0|6.262|-|0|0.5897|-|0|0|-||0|6.851699999999999|-|430.5|2.5139999999999993|0.58397212543554|0|1.5915679442508708||||388
|  Sole|0|0.019|-|0|0|-|0|0|-||0|0.019|-|12.1|0.004999999999999999|0.04132231404958677|0|0.15702479338842976||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|0|560.4990000000001|-|0|11.981400001525879|-|0|0|-||0|572.480400001526|-|2812.2|74.68430000152614|2.655725055171259|0|20.35703008326314||||2805
|  Nephrops|0|562.7009999999999|-|0|24.924|-|0|0.1463|-||0|587.7712999999999|-|13589.399999999996|113.1287999999999|0.8324782551106004|0|4.325218920629315||||17636
|  Megrim|0|179.12800000000001|-|0|6.3175|-|0|0|-||0|185.4455|-|1899.9000000000003|27.918000000000006|1.469445760303174|0|9.760803200168429||||1772
|  Pollack|0|6.435|-|0|0.14529999999999998|-|0|0|-||0|6.580299999999999|-|144.69999999999996|0.7559999999999993|0.522460262612301|0|4.547546648237734||||145
|Greenland Halibut II,IV,VI|0|0|-|0|0|-|0|0|-||0|0|-|1071.3999999999999|0|0|0|0||||974
|  Spurdog (zero TAC)|-|0|-|-|4.8561|-|-|0.0419|-||-|4.898|-|0|0.05940000000000012|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43173||||||||||||This weeks report includes swap numbers 1-87

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0|0.108|-|0|0|-|0|0|-||0|0.108|-|4|0|0|0|2.7||||4
|Monkfish|0|4.7940000000000005|-|0|0.5109|-|0|0.372|-||0|5.676900000000001|-|268.09999999999997|0|0|0|2.1174561730697508||||180
|Ling |0|1.912|-|0|1.6161999999999999|-|0|0|-||0|3.5282|-|107.1|0|0|0|3.2943043884220353||||144
|Nephrops|0|0|-|0|0|-|0|0|-||0|0|-|42|0|0|0|0||||53
