|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43194||||||||||||This weeks report includes swap numbers 212-258

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|0|3243.908000000001|-|0|1200.9204700021744|-|0|62.6462|-||0|4507.474670002175|-|19273.4|510.05310000000054|2.646409559288971|0|23.38702392936469||||16754
|  Haddock|0|4918.299|-|0|909.492179990983|-|0|27.5012|-||0|5855.292379990983|-|30870.4|517.7697499999995|1.6772369324660499|0|18.967335635401493||||44464
|  Whiting|0|2792.2769999999996|-|0|490.68390000782017|-|0|24.1348|-||0|3307.0957000078197|-|14945.599999999999|347.79170000000113|2.3270507707954255|0|22.127553928967856||||9473
|  Saithe|0|1737.5400000000002|-|0|428.1592|-|0|705.5522|-||0|2871.2514|-|10743.900000000003|233.8665000000001|2.1767374975567533|0|26.724479937452873||||8710
|  Plaice|0|168.15399999999994|-|0|51.483409991788854|-|0|1607.3402|-||0|1826.977609991789|-|32452.3|96.39463999862687|0.297034848065089|0|5.629732283973059||||27552
|  Sole|0|0.002|-|0|3.1734|-|0|89.3219|-||0|92.4973|-|833|1.7296999999999798|0.207647058823527|0|11.104117647058823||||783
|  Hake|0|445.976|-|0|142.0085|-|0|19.209500000000002|-||0|607.1940000000001|-|2069.4999999999995|49.976800000000026|2.4149214786180253|0|29.340130466296216||||5317
|  Nephrops|0|1029.569|-|0|437.1914000061035|-|0|25.244699999999998|-||0|1492.0051000061035|-|22101.1|106.18250000000012|0.4804398876074047|0|6.750818285090351||||10801
|  Norway others|0|95.512|-|0|48.6707|-|0|0.736|-||0|144.9187|-|3509.8999999999996|1.2520000000000095|0.03567053192398671|0|4.128855522949372||||2934
|  Monkfish|0|2247.402|-|0|102.25207001829148|-|0|6.2864|-||0|2355.9404700182913|-|13154.099999999999|288.80103999977064|2.195521092281271|0|17.910312906381215||||9798
|  Megrim|0|289.44000000000005|-|0|17.2816|-|0|3.49|-||0|310.2116000000001|-|2684.3|64.31450000000004|2.3959505271392927|0|11.556517527847115||||2727
|  Lem Sole & Witches|0|371.431|-|0|19.690899998235704|-|0|26.9341|-||0|418.0559999982357|-|3843.9|57.24118999900816|1.489143578110985|0|10.875829235886357||||3554
|  Skates & Rays|0|86.965|-|0|67.33860000076294|-|0|8.3555|-||0|162.65910000076295|-|1055.1|9.517799999999966|0.9020756326414527|0|15.416462894584681||||721
|  Dabs & Flounders|0|2.6050000000000004|-|0|0|-|0|24.756|-||0|27.361|-|0|4.274999999999999|-|0|-||||1558
|  Turbot & Brill|0|6.224000000000002|-|0|3.98347999765873|-|0|59.379|-||0|69.58647999765873|-|984.3999999999999|2.084299999999999|0.21173303535148305|0|7.0689232017125905||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0222|-|0|0|-||0|0.0222|-|427.3000000000001|0.004800000000000002|0.0011233325532412825|0|0.00519541305874093||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|0|6.912|-|0|0|-|0|0|-||0|6.912|-|45|0.657|1.46|0|15.36||||45
| Cod VIa,Vb (EC)|0|54.475|-|0|12.089400000000001|-|0|0|-||0|66.5644|-|0|7.016599999999997|-|-|-||||0
| Haddock VIb, XII, XIV  |0|451.918|-|0|0|-|0|0|-||0|451.918|-|4245|153.973|3.62716136631331|0|10.645889281507657||||2561
| Haddock VIa,Vb (EC)|0|716.7919999999999|-|0|14.8706|-|0|0|-||0|731.6625999999999|-|3958.899999999999|53.65999999999978|1.3554270125539871|0|18.481462022278915||||5077
|  Whiting|0|42.129000000000005|-|0|1.3212|-|0|0|-||0|43.4502|-|122|4.199000000000005|3.441803278688529|0|35.61491803278688||||122
|  Saithe|0|1016.1979999999999|-|0|148.8732|-|0|0.6547|-||0|1165.7259|-|3685.8000000000006|171.6809999999997|4.657903304574304|0|31.62748657007976||||2839
|  Plaice|0|9.752|-|0|0.9489000000000001|-|0|0|-||0|10.7009|-|430.49999999999994|1.2889999999999997|0.2994192799070847|0|2.4856910569105697||||388
|  Sole|0|0.028999999999999998|-|0|0|-|0|0|-||0|0.028999999999999998|-|12.1|0.009999999999999998|0.08264462809917354|0|0.23966942148760328||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|0|820.015|-|0|15.354500001525878|-|0|137.5251|-||0|972.894600001526|-|2832.2000000000003|53.928800000000365|1.9041310641903948|0|34.35119694942186||||2805
|  Nephrops|0|948.7170000000002|-|0|33.9165|-|0|0|-||0|982.6335000000003|-|13589.399999999998|137.1116000000003|1.0089599246471537|0|7.2308821581526805||||17636
|  Megrim|0|291.62100000000004|-|0|9.3049|-|0|0|-||0|300.9259|-|1899.9000000000003|49.464200000000005|2.6035159745249747|0|15.839038896784038||||1772
|  Pollack|0|7.579999999999998|-|0|1.8159|-|0|0|-||0|9.395899999999997|-|144.69999999999996|0.7889999999999979|0.545266067726329|0|6.4933655839668285||||145
|Greenland Halibut II,IV,VI|0|1.459|-|0|0|-|0|0|-||0|1.459|-|1071.3999999999999|1.459|0.1361769647190592|0|0.1361769647190592||||974
|  Spurdog (zero TAC)|-|0|-|-|5.586499999999999|-|-|0.0419|-||-|5.628399999999999|-|0|0.007899999999999352|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43194||||||||||||This weeks report includes swap numbers 212-258

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0|0.108|-|0|0|-|0|0|-||0|0.108|-|3.9999999999999996|0|0|0|2.7||||4
|Monkfish|0|4.803000000000001|-|0|1.0989|-|0|0.538|-||0|6.4399000000000015|-|268.09999999999997|0.4350000000000005|0.16225289071242097|0|2.4020514733308476||||180
|Ling |0|2.52|-|0|2.4874|-|0|0.038|-||0|5.045400000000001|-|107.1|0.6499999999999995|0.6069094304388417|0|4.7109243697479||||144
|Nephrops|0|0|-|0|0|-|0|0|-||0|0|-|42|0|0|0|0||||53
